Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
YBX1	17571
CLDN19	0
P3H1	2106
C1orf50	270
AC098484.3	3
AC098484.1	0
TMEM269	8
SVBP	725
ERMAP	1541
AL512353.1	65
ZNF691	415
AL512353.2	0
AL512353.3	0
ATP6V1E1P1	0
SLC2A1	3354
ATP6V0CP4	11
SLC2A1-AS1	62
AC099795.1	0
RNU6-880P	1
AL161637.1	0
FAM183A	1
EBNA1BP2	5068
MIR6733	0
CFAP57	5
RNA5SP46	0
TMEM125	5
C1orf210	0
TIE1	5
MPL	0
AL139289.2	9
CDC20	3319
ELOVL1	1606
MIR6734	0
MED8	2807
AL139289.1	1
SZT2	1252
SZT2-AS1	1
MIR6735	0
HYI	39
HYI-AS1	0
PTPRF	38
AL451062.3	0
KDM4A	1289
KDM4A-AS1	71
ST3GAL3	162
AL451062.1	0
AL451062.2	5
MIR6079	0
SHMT1P1	1
ARTN	1
AL357079.1	30
IPO13	1036
DPH2	2503
ATP6V0B	5229
B4GALT2	1812
CCDC24	93
SLC6A9	377
AL139220.2	44
AL139220.1	0
KRT8P47	0
RN7SL479P	0
KLF17	0
AL356653.1	2
KLF18	0
AL359839.1	0
OOSP1P1	0
AL035417.1	0
AL035417.2	0
DMAP1	702
ERI3	1697
ERI3-IT1	13
RNU6-369P	0
RNF220	2683
MIR5584	0
TMEM53	77
ARMH1	3
RNU5F-1	258
RNU5D-1	223
KIF2C	8898
AL592166.1	16
RPS8	49703
SNORD55	0
SNORD46	386
SNORD38A	10
SNORD38B	0
RPS15AP11	6
BEST4	0
PLK3	334
TCTEX1D4	6
BTBD19	60
PTCH2	66
RNU5E-6P	0
AL136380.1	1
EIF2B3	4366
RNA5SP47	0
CCNB1IP1P1	0
PPIAP35	0
MRPS17P1	0
HECTD3	1099
UROD	15875
ZSWIM5	12
OSTCP5	0
LINC01144	34
HPDL	0
MUTYH	813
TOE1	1619
TESK2	290
PPIAP36	0
CCDC163	83
MMACHC	563
PRDX1	21946
HMGB1P48	0
AKR1A1	2514
AL355480.3	5
AL355480.1	3
NASP	11769
AL355480.2	0
AL355480.4	0
CCDC17	74
GPBP1L1	6762
RPS15AP10	26
AL604028.2	48
TMEM69	1105
IPP	594
AL604028.1	27
AL603882.1	1
MAST2	760
TMA16P2	0
PIK3R3	310
AL358075.4	0
AL358075.1	0
AL358075.3	0
AL358075.2	5
TSPAN1	2
AL672043.1	0
POMGNT1	1817
LURAP1	25
RAD54L	1215
LRRC41	2748
UQCRH	14679
NSUN4	1954
AL122001.1	1
FAAH	23
FAAHP1	14
LINC01398	0
DMBX1	46
AL136373.1	0
MKNK1-AS1	1
KNCN	0
MKNK1	881
MOB3C	355
ATPAF1	965
NENFP1	5
TEX38	0
EFCAB14-AS1	0
EFCAB14	1452
AL593856.1	0
CYP4B1	0
CYP4Z2P	0
AL731892.1	0
CYP4A11	0
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	2
CYP4Z1	0
AL450996.1	0
CYP4A22-AS1	13
CYP4A22	0
MTND1P34	0
LINC00853	24
PDZK1IP1	2
TAL1	4786
AL135960.1	4
STIL	2569
CMPK1	5741
LINC01389	1
FOXE3	0
FOXD2-AS1	29
FOXD2	43
AL356458.1	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	1
AL691459.1	0
AC096541.1	0
AL356289.1	0
AL356289.2	0
CYP46A4P	0
SKINT1L	0
AL356289.3	0
AL109659.1	2
SLC5A9	0
AL109659.2	0
AL109659.3	0
SPATA6	8
PPP1R8P1	0
RNU6-723P	0
AL356968.2	7
RNU4-61P	0
AL356968.1	0
AGBL4	6
BEND5	0
AC099788.1	0
AL590432.1	1
AGBL4-IT1	0
AL390023.1	0
ZNF859P	0
AL645730.1	0
MTND2P29	0
ELAVL4	0
AL583843.1	0
AL592182.2	0
AL592182.1	0
AL596275.2	0
AL592182.3	0
